"Provincia, cantón y distrito",Población de 15 años y más,Tasa neta de participación,Tasa de ocupación,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,"Porcentaje de población ocupada  (Sector 
Primario)",Porcentaje de población ocupada  (Sector Secundario),Porcentaje de población ocupada  (Sector Terciario)
Ipís             ,20253,"57,4087789463289","55,4041376586185","3,49187236604455","42,5912210536711","1,23901264298615","0,47232866945905","17,2444523660993","82,2832189644417"
Rancho Redondo    ,1903,"55,6489753021545","52,9164477141356","4,91029272898961","44,3510246978455","1,39660056657224","19,8609731876862","19,364448857994","60,7745779543198"
Purral            ,20052,"53,2166367444644","50,6483143826052","4,82616437072439","46,7833632555356","1,57370443257427","0,64001575423395","19,8700275699094","79,4899566758566"
Santa Ana         ,9075,"62,7658402203857","61,5206611570248","1,98384831460674","37,2341597796143","0,987359550561798","2,29267418950385","17,1234103528569","80,5839154576393"
Salitral          ,3171,"61,3371176285084","59,9180069378745","2,31362467866324","38,6628823714916","1,21285347043702","9,26315789473684","19,8947368421053","70,8421052631579"
Pozos   ,11893,"63,7517867653241","62,1373917430421","2,53231337378","36,2482132346759","1,05552624637299","2,34100135317997","17,1853856562923","80,4736129905277"
Uruca,5548,"59,6791636625811","58,1290555155011","2,5974025974026","40,3208363374189","1,17456961643008","2,94573643410853","17,0852713178295","79,968992248062"
Piedades          ,6434,"58,7659309916071","57,4292819396954","2,27453054747421","41,2340690083929","1,14969584765935","3,32882273342355","18,213802435724","78,4573748308525"
Brasil            ,1975,"61,7215189873418","60,9113924050633","1,31255127153404","38,2784810126582","1,1214109926169","2,57689110556941","19,5344970906068","77,8886118038238"
Alajuelita,9282,"58,1232492997199","56,1193708252532","3,44763670064875","41,8767507002801","1,22205746061168","0,441543482434248","17,4505663275101","82,1078901900557"
San Josecito      ,7779,"56,999614346317","55,5855508420106","2,4808299503834","43,000385653683","1,36941813261164","0,994449583718779","21,1147086031452","77,890841813136"
San Antonio       ,3423,"56,8215016067777","54,9225825299445","3,34190231362468","43,1784983932223","1,43650385604113","3,98936170212766","22,3404255319149","73,6702127659575"
Concepción        ,13829,"55,9404150697809","53,1925663460843","4,91209927611169","44,0595849302191","1,41998448810755","0,299075584556824","23,531810766721","76,1691136487221"
San Felipe        ,22391,"54,7273458085838","52,6684828725827","3,7620368859148","45,2726541914162","1,58274849028889","0,619011277876707","24,8791656067158","74,5018231154075"
San Isidro        ,13338,"59,5891437996701","58,0671764882291","2,55410166079517","40,4108562003299","1,09172118772018","1,14912846998063","14,6158812136862","84,2349903163331"
San Rafael        ,5553,"56,6900774356204","54,9612821898073","3,04955527318933","43,3099225643796","1,23634053367217","5,53735255570118","18,3158584534731","76,1467889908257"
Dulce Nombre de Jesús,7574,"57,5653551623977","55,2416160549248","4,03669724770642","42,4346448376023","1,2348623853211","2,41395793499044","17,9732313575526","79,612810707457"
Patalillo         ,16175,"59,3570324574961","57,7681607418856","2,6768044995313","40,6429675425039","1,11946672221644","0,438784246575342","15,1220034246575","84,4392123287671"
Cascajal          ,5057,"55,3094720189836","53,0156219102235","4,14730067929925","44,6905279810164","1,40543439399356","6,67661320402835","18,7243565833644","74,5990302126072"
San Ignacio       ,6862,"51,9527834450597","50,8452346254736","2,13183730715288","48,0472165549403","1,52903225806452","13,585554600172","12,3817712811694","74,0326741186586"
Guaitil           ,1846,"47,1289274106176","46,0455037919827","2,29885057471264","52,8710725893825","1,76551724137931","42,8235294117647","7,76470588235294","49,4117647058824"
Palmichal         ,3421,"51,3007892429114","50,1900029231219","2,16524216524217","48,6992107570886","1,61025641025641","27,140361094933","12,4635993011066","60,3960396039604"
Cangrejal         ,1400,"43,0714285714286","42,2857142857143","1,82421227197347","56,9285714285714","2,10945273631841","72,972972972973","3,37837837837838","23,6486486486486"
Sabanillas        ,1741,"44,5146467547387","43,8828259620908","1,41935483870968","55,4853532452614","2,00774193548387","68,4554973821989","6,15183246073299","25,3926701570681"
San Juan          ,18346,"56,404665867219","54,8075874850104","2,83146501739467","43,595334132781","1,10137224584461","0,964694181999005","13,7145698657384","85,3207359522626"
Cinco Esquinas    ,4478,"58,2402858418937","55,4265297007593","4,83128834355828","41,7597141581063","1,27185582822086","0,64464141821112","23,8114423851732","75,5439161966156"
Anselmo Llorente  ,8475,"55,905604719764","54,3834808259587","2,72266779231743","44,094395280236","1,10764035457999","1,25840746365806","13,4736385333044","85,2679540030375"
León XIII     ,9881,"50,2277097459771","47,6874810241878","5,05742494458997","49,7722902540229","1,75256901067902","0,530560271646859","25,8701188455009","73,5993208828523"
Colima            ,11014,"59,8147811875795","57,6992918104231","3,53673345476624","40,1852188124206","1,05297510625379","0,597954366640441","15,8772619984264","83,5247836349331"
